"Rxn","Rxn Name","Rxn KEGG ID","Reversibility in model","eQuilibrator - ΔrG′m [kJ/mol] - 1mM concentration",""
"ACTS1","Malonyl-CoA-ACP transacylase (actinorhodin ACP)","R01626","reversible","",""
"ACTS10","actIII ketoacyl reductase","R09262","forward only","",""
"ACTS11","actVII aromatase","R09265","forward only","",""
"ACTS12","actIV cyclase","R09305","forward only","",""
"ACTS13","hydroxylacyl-CoA dehydrogenase","R09306","forward only","",""
"ACTS14","actVI dehydratase","R09308","forward only","-69.8 ± 7.2",""
"ACTS15","actVI oxidoreductase","R06695","forward only","19.6 ± 6.4","reversible "
"ACTS16","actVA-5/actVB monooxygenase","R06696","forward only","-402.3 ± 6.9",""
"ACTS2","polyketide chain elongation 1","R10707","forward only","",""
"ACTS3","polyketide chain elongation 2","","forward only","",""
"ACTS4","polyketide chain elongation 3","","forward only","",""
"ACTS5","polyketide chain elongation 4","","forward only","",""
"ACTS6","polyketide chain elongation 5","","forward only","",""
"ACTS7","polyketide chain elongation 6","","forward only","",""
"ACTS8","polyketide chain elongation 7","","forward only","",""
"ACTS9","actI cyclase","R09259","forward only","",""
"ALAD_L","L-alanine dehydrogenase","R00396","forward only","37.7 ± 1.1","Revers only "
"ALAR","alanine racemase","R00401","reversible","-0.0 ± 2.0",""
"ALATA_L","L-alanine transaminase","R00258","reversible","-0.2 ± 1.1",""
"APAT2r","3-Aminopropanoate:2-oxoglutarate aminotransferase","R00908","reversible","-4.2 ± 5.9",""
"ASNN","L-asparaginase","R00485","forward only","-16.4 ± 7.0","reversible "
"ASNS1","asparagine synthase (glutamine-hydrolysing)","R00578","forward only","-29.5 ± 7.2","reversible "
"ASPO1","L-aspartate oxidase","R00357","forward only","-92.6 ± 8.3",""
"ASPTA","aspartate transaminase","R00355","reversible","2.9 ± 1.1",""
"3OXCOAT","3-oxoadipyl-CoA thiolase","R00829","forward only","29.7 ± 16.0","reversible "
"5DGLCNR","5-dehydro-D-gluconate reductase","R01740","reversible","26.4 ± 6.5",""
"6PHBG","6-phospho-beta-glucosidase","","forward only","",""
"AAMYLe","alpha-amylase","","forward only","",""
"ACM6PH","N-acetylmuramate 6-phosphate hydrolase","R08555","forward only","6.0 ± 7.8","reversible "
"ACS2","acetyl-CoA synthase (propionate)","R00925","forward only","6.2 ± 5.8","reversible "
"ADNUC","adenosine hydrolase","R01245","forward only","-4.9 ± 3.5 ","reversible "
"AGDC","N-acetylglucosamine-6-phosphate deacetylase","R02059","forward only","-6.9 ± 7.5","reversible "
"ALCD19","alcohol dehydrogenase (glycerol)","R01036","reversible","39.6 ± 4.0","Forward only"
"ALCD19y","alcohol dehydrogenase (glycerol, NADP)","R01041","reversible","40.6 ± 4.0","Forward only"
"ALDD1","aldehyde dehydrogenase (formaldehyde, NAD)","R00604","forward only","-43.0 ± 3.9",""
"ALDD19xr","aldehyde dehydrogenase (phenylacetaldehyde, NAD)","R02536","forward only","-35.4 ± 5.9",""
"ALDD2x","aldehyde dehydrogenase (acetaldehyde, NAD)","R00710","forward only","-47.0 ± 2.6",""
"ALLTAMH2","allantoate amidohydrolase","R02423","forward only","6.8 ± 16.6","reversible "
"AMALT1","Amylomaltase (maltotriose)","","forward only","",""
"AMALT2","Amylomaltase (maltotetraose)","","forward only","",""
"AMALT3","Amylomaltase (maltopentaose)","","forward only","",""
"AMALT4","Amylomaltase (maltohexaose)","","forward only","",""
"ARAI","L-arabinose isomerase","R01761","reversible","-3.3 ± 3.1",""
